exchange,market_type,exchange_symbol,ccxt_symbol,ccxt_id,base_asset,quote_asset,settle,canonical_symbol,asset_class,verified,pair_data_class,status,tick_size,lot_size,min_order_size,min_order_notional,max_market_order_size,max_market_order_notional,max_position_size,max_position_notional,quantity_multiplier,price_multiplier
BITGET,UPERP,BEUSDT,BE/USDT:USDT,BEUSDT,BE,USDT,USDT,BE,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,BRKBUSDT,BRKB/USDT:USDT,BRKBUSDT,BRKB,USDT,USDT,BRKB,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,BXUSDT,BX/USDT:USDT,BXUSDT,BX,USDT,USDT,BX,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,BZUSDT,BZ/USDT:USDT,BZUSDT,BZ,USDT,USDT,BZ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CBRSUSDT,CBRS/USDT:USDT,CBRSUSDT,CBRS,USDT,USDT,CBRS,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CIENUSDT,CIEN/USDT:USDT,CIENUSDT,CIEN,USDT,USDT,CIEN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CLUSDT,CL/USDT:USDT,CLUSDT,CL,USDT,USDT,CL,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,COHRUSDT,COHR/USDT:USDT,COHRUSDT,COHR,USDT,USDT,COHR,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,COINUSDT,COIN/USDT:USDT,COINUSDT,COIN,USDT,USDT,COIN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,COPPERUSDT,COPPER/USDT:USDT,COPPERUSDT,COPPER,USDT,USDT,COPPER,TRADEFI,true,class1,TRADING,0.001,0.1,0.1,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,COPUSDT,COP/USDT:USDT,COPUSDT,COP,USDT,USDT,COP,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,COSTUSDT,COST/USDT:USDT,COSTUSDT,COST,USDT,USDT,COST,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CRCLUSDT,CRCL/USDT:USDT,CRCLUSDT,CRCL,USDT,USDT,CRCL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CRDOUSDT,CRDO/USDT:USDT,CRDOUSDT,CRDO,USDT,USDT,CRDO,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CRWDUSDT,CRWD/USDT:USDT,CRWDUSDT,CRWD,USDT,USDT,CRWD,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CRWVUSDT,CRWV/USDT:USDT,CRWVUSDT,CRWV,USDT,USDT,CRWV,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,CSCOUSDT,CSCO/USDT:USDT,CSCOUSDT,CSCO,USDT,USDT,CSCO,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DELLUSDT,DELL/USDT:USDT,DELLUSDT,DELL,USDT,USDT,DELL,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DFENUSDT,DFEN/USDT:USDT,DFENUSDT,DFEN,USDT,USDT,DFEN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DOOSBOTUSDT,DOOSBOT/USDT:USDT,DOOSBOTUSDT,DOOSBOT,USDT,USDT,DOOSBOT,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DOOSENERUSDT,DOOSENER/USDT:USDT,DOOSENERUSDT,DOOSENER,USDT,USDT,DOOSENER,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DRAMUSDT,DRAM/USDT:USDT,DRAMUSDT,DRAM,USDT,USDT,DRAM,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,DXYZUSDT,DXYZ/USDT:USDT,DXYZUSDT,DXYZ,USDT,USDT,DXYZ,TRADEFI,true,,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,EHUSDT,EH/USDT:USDT,EHUSDT,EH,USDT,USDT,EH,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,ETNUSDT,ETN/USDT:USDT,ETNUSDT,ETN,USDT,USDT,ETN,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,EVEXUSDT,EVEX/USDT:USDT,EVEXUSDT,EVEX,USDT,USDT,EVEX,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,EWHUSDT,EWH/USDT:USDT,EWHUSDT,EWH,USDT,USDT,EWH,TRADEFI,true,class1,TRADING,0.001,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
BITGET,UPERP,EWJUSDT,EWJ/USDT:USDT,EWJUSDT,EWJ,USDT,USDT,EWJ,TRADEFI,true,class1,TRADING,0.01,0.01,0.01,5.0,Infinity,Infinity,Infinity,Infinity,1,1
